<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,600999,招商证券,12.17,12.18,11.57,11.65,53817224
20140122,601000,唐山港,2.84,2.84,2.77,2.79,4663167
20140122,601001,大同煤业,5.04,5.06,4.91,4.92,3367345
20140122,601002,晋亿实业,8.2,8.22,7.83,7.87,5867987
20140122,601003,柳钢股份,1.99,2,1.95,1.96,2443891
20140122,601005,重庆钢铁,2.31,2.33,2.26,2.27,2987590
20140122,601006,大秦铁路,7.23,7.35,7.08,7.09,28848880
20140122,601007,金陵饭店,7.97,7.99,7.83,7.83,2112646
20140122,601008,连云港,3.32,3.34,3.23,3.24,6365762
20140122,601009,南京银行,7.99,8,7.86,7.87,8350963
20140122,601010,文峰股份,6.8,6.8,6.61,6.64,2011323
20140122,601011,宝泰隆,8.19,8.19,8.04,8.1,1774209
20140122,601012,隆基股份,16.85,16.99,16.46,16.47,2919106
20140122,601018,宁波港,2.32,2.34,2.27,2.28,16604338
20140122,601028,玉龙股份,12.37,12.45,11.6,11.6,2670981
20140122,601038,一拖股份,9.07,9.12,8.71,8.8,14116346
20140122,601058,赛轮股份,14.12,14.25,13.93,13.97,3094444
20140122,601088,中国神华,14.39,14.4,14.1,14.18,8436680
20140122,601098,中南传媒,11.13,11.14,10.78,10.83,16685332
20140122,601099,太平洋,6.79,6.95,6.66,6.8,63499506
20140122,601100,恒立油缸,11.13,11.18,10.8,10.8,3288559
20140122,601101,昊华能源,6.5,6.5,6.3,6.35,5864644
20140122,601106,中国一重,2.02,2.04,1.98,1.98,10131210
20140122,601107,四川成渝,2.79,2.8,2.71,2.72,3143579
20140122,601111,中国国航,3.83,3.84,3.75,3.77,11596325
20140122,601113,华鼎股份,3.97,3.98,3.87,3.87,2183277
20140122,601116,三江购物,8.26,8.27,8.06,8.15,2249028
20140122,601117,中国化学,6.39,6.46,6.06,6.09,52828118
20140122,601118,海南橡胶,7.54,7.79,7.12,7.18,60575898
20140122,601126,四方股份,18.4,18.44,17.7,17.79,1993644
20140122,601137,博威合金,15.71,15.8,15.1,15.1,5020403
20140122,601139,深圳燃气,7.11,7.12,6.97,6.98,6329203
20140122,601158,重庆水务,5.54,5.55,5.37,5.4,5040552
