600403,20031009,DYNY-大有能源
600405,20040401,DLY -动力源  
600406,20031016,GDNR-国电南瑞
600408,20030212,ATJT-安泰集团
600409,20030618,SYHG-三友化工
600410,20040427,HSTC-华胜天成
600415,20020509,XSPC-小商品城
600416,20020718,XDGF-湘电股份
600418,20010824,JHQC-江淮汽车
600419,20010628,XJTH-新疆天宏
600420,20040616,XDZY-现代制药
600421,20040607,*STG-*ST国药 
600422,20001206,KMZY-昆明制药
600423,20030717,LHGF-柳化股份
600425,20030724,QSJH-青松建化
600426,20020620,HLHS-华鲁恒升
600428,20020418,ZYHY-中远航运
600429,20030915,SYGF-三元股份
600432,20030905,JENY-吉恩镍业
600433,20030619,GHGX-冠豪高新
600435,20030704,BFDH-北方导航
600436,20030616,PZH -片仔癀  
600438,20040302,TWGF-通威股份
600439,20030710,RBK -瑞贝卡  
600444,20040219,*STG-*ST国通 
600446,20031224,JZGF-金证股份
600448,20010903,HFGF-华纺股份
600449,20030829,NXJC-宁夏建材
600452,20040303,FLDL-涪陵电力
600455,20040329,BTGF-博通股份
600456,20020412,BTGF-宝钛股份
600458,20021219,SDXC-时代新材
600459,20030516,GYBY-贵研铂业
600460,20030311,SLW -士兰微  
600461,20040601,HCSY-洪城水业
600462,20030903,SXZY-石岘纸业
600463,20040318,KGGF-空港股份
600466,20010212,DKYY-迪康药业
600467,20040405,HDJ -好当家  
600468,20010615,BLDQ-百利电气
600469,20031021,FSGF-风神股份
600470,20040305,LGHG-六国化工
600475,20030721,HGGF-华光股份
600476,20031210,XYKJ-湘邮科技
600477,20031110,HXGG-杭萧钢构
600478,20030918,KLY -科力远  
600479,20040312,QJYY-千金药业
600480,20030815,LYGF-凌云股份
600481,20030422,SLJN-双良节能
600482,20040714,FFGF-风帆股份
600483,20040531,FJNF-福建南纺
600485,20030807,ZCXC-中创信测
600486,20020425,YNHG-扬农化工
600487,20030822,HTGD-亨通光电
600488,20010618,TYGF-天药股份
600489,20030814,ZJHJ-中金黄金
600490,20030626,PXZY-鹏欣资源
600491,20040524,LYJS-龙元建设
600493,20040421,FZFZ-凤竹纺织
600495,20040526,JXCZ-晋西车轴
600496,20020605,JGGG-精工钢构
600497,20040420,CHXZ-驰宏锌锗
600498,20010823,FHTX-烽火通信
600499,20021010,KDJD-科达机电
600500,20000301,ZHGJ-中化国际
600501,20010615,HTCG-航天晨光
600502,20030415,AHSL-安徽水利
600503,20020709,HLJZ-华丽家族
600505,20020530,XCDL-西昌电力
600506,20011226,XLGF-香梨股份
600507,20030930,FDTG-方大特钢
600508,20010829,SHNY-上海能源
600509,20020228,TFRD-天富热电
600510,20020618,HMD -黑牡丹  
600511,20021127,GYGF-国药股份
